"","sdimx","sdimy","cell_ID"
"160",2856.53,-451.05,"cell_160"
"161",2847.87,-508.2,"cell_161"
"162",2836.59,-1402.5,"cell_162"
"163",2807.27,-1159.9,"cell_163"
"164",2746.73,-1495.1,"cell_164"
"165",2729.73,-366.94,"cell_165"
"166",2729.87,-1388.5,"cell_166"
"167",2722.57,-513.53,"cell_167"
"168",2710.83,-1039.8,"cell_168"
"169",2700.37,-289.92,"cell_169"
"170",2686.47,-1555.4,"cell_170"
"171",2657.27,-397.93,"cell_171"
"172",2639.67,-1816.8,"cell_172"
"173",2637.67,-1311.8,"cell_173"
"174",2633.27,-1223.2,"cell_174"
"175",2621.07,-1954.9,"cell_175"
"176",2624.17,-1410.2,"cell_176"
"177",2615.77,-1675.7,"cell_177"
"178",2607.77,-1002.1,"cell_178"
"179",2599.27,-1103.8,"cell_179"
"180",2590.07,-247.23,"cell_180"
"181",2583.17,-1534.7,"cell_181"
"182",2569.37,-493.17,"cell_182"
"183",2563.67,-176.2,"cell_183"
"184",2543.37,-1197.8,"cell_184"
"185",2528.47,-1370.7,"cell_185"
"186",2530.87,-324.83,"cell_186"
"187",2529.57,-1443.6,"cell_187"
"188",2503.17,-427.71,"cell_188"
"189",2501.77,-1535.1,"cell_189"
"190",2463.47,-900.27,"cell_190"
"191",2445.37,-224.88,"cell_191"
"192",2421.67,-1461.1,"cell_192"
"193",2414.97,-1021.7,"cell_193"
"194",2408.07,-1117.7,"cell_194"
"195",2413.27,-440.01,"cell_195"
"196",2407.37,-1737.6,"cell_196"
"197",2385.87,-945.65,"cell_197"
"198",2364.97,-368.95,"cell_198"
"199",2376.57,-561.77,"cell_199"
"200",2323.37,-1802.9,"cell_200"
"201",2332.07,-1326.7,"cell_201"
"202",2309.97,-1687.2,"cell_202"
"203",2296.57,-514.6,"cell_203"
"204",2285.47,-1241.1,"cell_204"
"205",2279.77,-861.75,"cell_205"
"206",2251.07,-590.72,"cell_206"
"207",2252.07,-743.94,"cell_207"
"208",2247.57,-1463.2,"cell_208"
"209",2240.87,-1109,"cell_209"
"210",2226.67,-464.69,"cell_210"
"211",2203.27,-918.22,"cell_211"
"212",2197.37,-1748.9,"cell_212"
"213",2162.97,-1205.4,"cell_213"
"214",2153.47,-743.17,"cell_214"
"215",2126.17,-1087.2,"cell_215"
"216",2099.27,-856.63,"cell_216"
"217",2104.27,-531.71,"cell_217"
"218",2086.87,-1751.5,"cell_218"
"219",2082.07,-653.89,"cell_219"
"220",2083.87,-1625.7,"cell_220"
"221",2067.77,-751.4,"cell_221"
"222",2052.37,-1164.1,"cell_222"
"223",2034.97,-1536.8,"cell_223"
"224",1986.67,-1020.7,"cell_224"
"225",1965.17,-918.24,"cell_225"
"226",1876.87,-1046.5,"cell_226"
"227",5195.67,-1033.1,"cell_227"
"228",5159.8,-794.27,"cell_228"
"229",5119.29,-892.49,"cell_229"
"230",4970.61,-1037.7,"cell_230"
"231",4997.85,-1174.9,"cell_231"
"232",4899.09,-864.35,"cell_232"
"233",4879.9,-1112.1,"cell_233"
"234",4851.6,-1240.8,"cell_234"
"235",4823.56,-1365.4,"cell_235"
"236",4804.11,-713.46,"cell_236"
"237",4721.72,-1351.7,"cell_237"
"238",4682.87,-874.24,"cell_238"
"239",4669.97,-1231.8,"cell_239"
"240",4637.17,-1699.3,"cell_240"
"241",4607.14,-1336,"cell_241"
"242",4547.35,-568.71,"cell_242"
"243",4537.9,-1744.9,"cell_243"
"244",4510.15,-1145.7,"cell_244"
"245",4483.3,-1047.9,"cell_245"
"246",4442.22,-493.04,"cell_246"
"247",4436.92,-999.3,"cell_247"
"248",4418.12,-1623.1,"cell_248"
"249",4406.42,-1437.8,"cell_249"
"250",4392.42,-752.18,"cell_250"
"251",4317.02,-490.18,"cell_251"
"252",4240.52,-1073.6,"cell_252"
"253",4243.82,-1585.5,"cell_253"
"254",4222.32,-761.15,"cell_254"
"255",4172.12,-529.72,"cell_255"
"256",4192.32,-872.18,"cell_256"
"257",4158.92,-800.37,"cell_257"
"258",4094.92,-1122.9,"cell_258"
"259",4082.02,-1281.7,"cell_259"
"260",4032.92,-1487.7,"cell_260"
"261",3993.32,-1168.7,"cell_261"
"262",3968.02,-1620.9,"cell_262"
"263",3946.22,-998.12,"cell_263"
"264",3877.72,-906.57,"cell_264"
"265",3829.02,-1769.8,"cell_265"
"266",3810.52,-974.49,"cell_266"
"267",3812.72,-1879.2,"cell_267"
"268",3740.62,-1473.7,"cell_268"
"269",3661.02,-873.9,"cell_269"
"270",3673.02,-1327.8,"cell_270"
"271",5210.52,-1507.3,"cell_271"
"272",5074.16,-1522.7,"cell_272"
"273",5049.17,-1655.5,"cell_273"
"274",5024.13,-1415.4,"cell_274"
"275",4952.79,-1309.2,"cell_275"
"276",4929.39,-1484.8,"cell_276"
"277",4888.54,-1668.2,"cell_277"
"278",4759.77,-1474.1,"cell_278"
"279",4016.92,-876.46,"cell_279"
"280",3962.02,-1734.5,"cell_280"
"281",3828.12,-1652.8,"cell_281"
"282",3823.62,-1371.3,"cell_282"
"283",5297.77,-707.72,"cell_283"
"284",5288.5,-520.95,"cell_284"
"285",5266.38,-623.17,"cell_285"
"286",5149.68,-1818.8,"cell_286"
"287",5134.28,-551.91,"cell_287"
"288",5101.7,-633.05,"cell_288"
"289",5019.92,-1820.3,"cell_289"
"290",5016.97,-703.15,"cell_290"
"291",5003.98,-573.52,"cell_291"
"292",4872.74,-539.39,"cell_292"
"293",4802.82,-420.87,"cell_293"
"294",4800.77,-325.13,"cell_294"
"295",4685.65,-1042.1,"cell_295"
"296",4653.69,-300.32,"cell_296"
"297",4630.36,-713.42,"cell_297"
"298",4570.03,-756.36,"cell_298"
"299",4554.35,-414.39,"cell_299"
"300",4510.78,-257.98,"cell_300"
"301",4278.02,-1904.6,"cell_301"
"302",4219.92,-1273.9,"cell_302"
"303",4218.32,-1803.1,"cell_303"
"304",4212.72,-174.8,"cell_304"
"305",4131.72,-1936,"cell_305"
"306",3967.12,-695.89,"cell_306"
"307",3950.32,-602.98,"cell_307"
"308",3957.12,-212.18,"cell_308"
"309",3943.12,-355.41,"cell_309"
"310",3871.12,-496.92,"cell_310"
"311",3774.32,-644.44,"cell_311"
"312",3734.02,-374.85,"cell_312"
"313",3632.42,-546.78,"cell_313"
"314",3623.42,-411.24,"cell_314"
"315",4253.22,-1202.5,"cell_315"
"316",4170.42,-1411.1,"cell_316"
"317",6953.87,-734.12,"cell_317"
"318",6939.31,-1601.5,"cell_318"
"319",6921.24,-1495.3,"cell_319"
"320",6840.72,-1033.3,"cell_320"
"321",6831.4,-723.27,"cell_321"
"322",6835.25,-863.07,"cell_322"
"323",6800.38,-1135.9,"cell_323"
"324",6774.13,-1297.7,"cell_324"
"325",6724.11,-701.05,"cell_325"
"326",6709.27,-854.93,"cell_326"
"327",6716.01,-352.2,"cell_327"
"328",6687.35,-995.24,"cell_328"
"329",6675.56,-1091.3,"cell_329"
"330",6668.01,-1468.1,"cell_330"
"331",6600.69,-1285.5,"cell_331"
"332",6588.96,-1700.8,"cell_332"
"333",6561.13,-653.28,"cell_333"
"334",6521.45,-726.66,"cell_334"
"335",6534.37,-1234,"cell_335"
"336",6525.94,-877.47,"cell_336"
"337",6479.36,-432.99,"cell_337"
"338",6486.6,-1599.6,"cell_338"
"339",6469.98,-1184,"cell_339"
"340",6474.36,-1715.2,"cell_340"
"341",6431.93,-966.9,"cell_341"
"342",6422.09,-856.05,"cell_342"
"343",6406.68,-716.81,"cell_343"
"344",6399.85,-1873.1,"cell_344"
"345",6395.82,-366.31,"cell_345"
"346",6385.38,-1698,"cell_346"
"347",6336.58,-1441.5,"cell_347"
"348",6360.15,-985.08,"cell_348"
"349",6359.06,-1559.7,"cell_349"
"350",6356.29,-482.59,"cell_350"
"351",6345.2,-859.35,"cell_351"
"352",6323.91,-1768.8,"cell_352"
"353",6315.73,-1052.8,"cell_353"
"354",6306.06,-469.33,"cell_354"
"355",6275.53,-1909.7,"cell_355"
