"","x"
"284","Barx2"
"285","Bbs10"
"286","Bbs12"
"287","Bbs4"
"288","Bc031361"
"289","Bcat1"
"290","Bckdha"
"291","Bcl3"
"292","Bcl7b"
"293","Bcl9"
"294","Bdh1"
"295","Bdkrb1"
"296","Bdkrb2"
"297","Bend3"
"298","Bend4"
"299","Best2"
"300","Best3"
"301","Bhlhe41"
"302","Bicd2"
"303","Bin1"
"304","Bin3"
"305","Bivm"
"306","Bloc1s5"
"307","Bmp8a"
"308","Bmper"
"309","Bms1"
"310","Bnip2"
"311","Bod1l"
"312","Bok"
"313","Bora"
"314","Bpgm"
"315","Bpifb4"
"316","Brd2"
"317","Brf2"
"318","Bri3bp"
"319","Brpf3"
"320","Brwd3"
"321","Bsdc1"
"322","Bsn"
"323","Bspry"
"324","Btbd17"
"325","Btd"
"326","Btk"
"327","Btla"
"328","Btn1a1"
"329","Bub1"
"330","Bub1b"
"331","Bub3"
"332","C030029h02rik"
"333","C1qtnf1"
"334","C2cd2"
"335","C8a"
"336","Cables1"
"337","Cacna1b"
"338","Cacna1c"
"339","Cacna1e"
"340","Cacna1g"
"341","Cacng2"
"342","Cacng3"
"343","Cactin"
"344","Calcrl"
"345","Camk1d"
"346","Camk1g"
"347","Camkk1"
"348","Camsap3"
"349","Capn13"
"350","Capn15"
"351","Capn2"
"352","Capn9"
"353","Capza1"
"354","Car2"
"355","Card10"
"356","Card14"
"357","Cars"
"358","Casc4"
"359","Caskin2"
"360","Casp8ap2"
"361","Casq2"
"362","Cav1"
"363","Cbfa2t2"
"364","Cbfa2t3"
"365","Cblb"
"366","Cbx4"
"367","Cc2d1a"
"368","Ccar2"
"369","Ccdc102a"
"370","Ccdc115"
"371","Ccdc126"
"372","Ccdc129"
"373","Ccdc130"
"374","Ccdc14"
"375","Ccdc146"
"376","Ccdc154"
"377","Ccdc157"
"378","Ccdc17"
"379","Ccdc181"
"380","Ccdc39"
"381","Ccdc40"
"382","Ccdc51"
"383","Ccdc65"
"384","Ccdc66"
"385","Ccdc85b"
"386","Ccdc87"
"387","Ccdc88b"
"388","Ccdc92"
"389","Ccdc97"
"390","Cchcr1"
"391","Ccng1"
"392","Ccnj"
"393","Ccr3"
"394","Ccr4"
"395","Ccr7"
"396","Ccser1"
"397","Ccser2"
"398","Cct8l1"
"399","Cd163"
"400","Cd22"
"401","Cd28"
"402","Cd300ld"
"403","Cd300lf"
"404","Cd300lg"
"405","Cd5"
"406","Cd6"
"407","Cd83"
"408","Cd93"
"409","Cd96"
"410","Cd99l2"
"411","Cdc23"
"412","Cdc25c"
"413","Cdc42bpg"
"414","Cdc42ep4"
"415","Cdc42se1"
"416","Cdc45"
"417","Cdc5l"
"418","Cdca2"
"419","Cdca5"
"420","Cdca7"
"421","Cdca8"
"422","Cdcp1"
"423","Cdh11"
"424","Cdh16"
"425","Cdh18"
"426","Cdh22"
"427","Cdh23"
"428","Cdh3"
"429","Cdh6"
"430","Cdh7"
"431","Cdk13"
"432","Cdk16"
"433","Cdk5rap3"
"434","Cdk6"
"435","Cdkl2"
"436","Cdkl4"
"437","Cdkl5"
"438","Cdkn1a"
"439","Cdkn1c"
"440","Cdon"
"441","Cdr2l"
"442","Cdyl2"
"443","Ceacam16"
"444","Ceacam20"
"445","Cebpz"
"446","Celsr3"
"447","Cenpf"
"448","Cep104"
"449","Cep135"
"450","Cep152"
"451","Cep164"
"452","Cep170b"
"453","Cep350"
"454","Cep57"
"455","Cep68"
"456","Cep85"
"457","Cep89"
"458","Cep95"
"459","Cept1"
"460","Cercam"
"461","Cers2"
"462","Cers3"
"463","Cers5"
"464","Cgn"
"465","Chad"
"466","Chd8"
"467","Chdh"
"468","Chek1"
"469","Chic1"
"470","Chodl"
"471","Chrm1"
"472","Chrm2"
"473","Chrna5"
"474","Chrna6"
"475","Chrna7"
"476","Chrnd"
"477","Chst10"
"478","Chst2"
"479","Chst3"
"480","Chst7"
"481","Chsy1"
"482","Ciao1"
"483","Ciapin1"
"484","Cidec"
"485","Cilp2"
"486","Cinp"
"487","Cit"
"488","Cited2"
"489","Ckap2l"
"490","Ckap4"
